ROW_NUMBER,TERM_CODE,SUBJ_CODE,CRSE_NUMB,CRSE_TITLE,CRSE_EQUIV,CRSE_TEXT,NOTE_ROW,CRN,PTRM_CODE,SEQ_NUMB,SCHD_CODE,SCHD_TYPE,SCHD_SORT,CREDIT_HRS,LINK_CONN,START_DATE,END_DATE,SUNDAYS,MONDAYS,TUESDAYS,WEDNESDAYS,THURSDAYS,FRIDAYS,SATURDAYS,TIMES,LOCATIONS,MAX_ENRL,ENRL,SEATS,WLIST,PERC_FULL,XLIST_MAX,XLIST_CUR,INSTRUCTORS,TUITION_CODE,TUITION_DESC,BILL_HRS,NOTE_BOTTOM,NOTES_SKILL,CRSE_ROW_NUM,CRSE_ROW_TOTAL
1,202620,CSCI,1105,Intro to Computer Programming,,,R ,20698,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley KENNETH C ROWE MANAGEMENT 1007,50,38,12,,  76.0%,,,Poitras E. ,,,3,Students should not register for CSCI 1105 and CSCI 1110 in the same term. ,[],1,109
2,202620,CSCI,1105,Intro to Computer Programming,,,S ,20699,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],1,109
3,202620,CSCI,1105,Intro to Computer Programming,,,,20700,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1135-1255,Studley MONA CAMPBELL BUILDING 1201,50,38,12,,  76.0%,,,Staff,,,0,,[],1,109
4,202620,CSCI,1107,Social Computing,,,S ,20701,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],2,109
5,202620,CSCI,1108,Experimental Robotics,,,R ,20702,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,F,,1005-1125,Studley KENNETH C ROWE MANAGEMENT 1014,60,16,44,,  26.7%,,,Sajjad H. ,,,3,,[],3,109
6,202620,CSCI,1108,Experimental Robotics,,,,20703,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,16,44,,  26.7%,,,Staff,,,0,,[],3,109
7,202620,CSCI,1109,Practical Data Science,,,R ,20704,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Studley CHEMISTRY 125,50,22,28,,  44.0%,,,Marchand Y. ,,,3,,[],4,109
8,202620,CSCI,1109,Practical Data Science,,,R ,20705,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley LSC-COMMON AREA C208,50,8,42,,  16.0%,,,Rudzicz F. ,,,3,,[],4,109
9,202620,CSCI,1109,Practical Data Science,,,S ,20706,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],4,109
10,202620,CSCI,1109,Practical Data Science,,,,20707,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1555,Studley MONA CAMPBELL BUILDING 1201,50,6,44,,  12.0%,,,Staff,,,0,,[],4,109
11,202620,CSCI,1109,Practical Data Science,,,,20708,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1255,Studley MONA CAMPBELL BUILDING 1201,50,24,26,,  48.0%,,,Staff,,,0,,[],4,109
12,202620,CSCI,1110,Intro to Computer Science,,,R ,20711,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,100,87,13,-1,  87.0%,,,Tang Y. ,,,3,Students not familiar with programming in Java should consider enrolling in CSCI 1105 before CSCI 1110. ,[],5,109
13,202620,CSCI,1110,Intro to Computer Science,,,R ,20712,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley LSC-COMMON AREA C220,45,36,9,0,  80.0%,,,Shakeri H. ,,,3,,[],5,109
14,202620,CSCI,1110,Intro to Computer Science,,,S R ,20713,1,40,L,Lec,1,3,B2,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Agricultural BANTING BUILDING 32,15,7,8,0,  46.7%,,,Farion C. ,,,3,,[],5,109
15,202620,CSCI,1110,Intro to Computer Science,,,S ,20714,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Wijethunga R. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],5,109
16,202620,CSCI,1110,Intro to Computer Science,,,,20715,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,40,20,0,  66.7%,,,Staff,,,0,,[],5,109
17,202620,CSCI,1110,Intro to Computer Science,,,,20717,1,B03,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,53,7,0,  88.3%,,,Staff,,,0,,[],5,109
18,202620,CSCI,1110,Intro to Computer Science,,,,20718,1,B04,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,30,30,0,  50.0%,,,Staff,,,0,,[],5,109
19,202620,CSCI,1110,Intro to Computer Science,,,S ,20719,1,B40,B,Lab,2,0,L2,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Agricultural AGRICULTURAL COX INSTITUTE 121,15,7,8,0,  46.7%,,,Farion C. ,,,0,,[],5,109
20,202620,CSCI,1120,Intro to Computer Systems,,,,20721,1,02,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,0935-1025,Studley LSC-PSYCHOLOGY P5260,100,110,-10,-3,WLIST,,,DeGagne C. ,,,3,,[],6,109
21,202620,CSCI,1120,Intro to Computer Systems,,,S ,20722,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Wickramasinghe M. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],6,109
22,202620,CSCI,1170,Intro to Web Design & Devel.,,,R ,20724,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,0835-0955,Studley MCCAIN ARTS&SS 2130,35,15,20,0,  42.9%,,,Wehbe R. ,,,3,,[],7,109
23,202620,CSCI,1170,Intro to Web Design & Devel.,,,R ,20725,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Studley LSC-PSYCHOLOGY P5260,120,68,52,0,  56.7%,,,Yang L. ,,,3,,[],7,109
24,202620,CSCI,1170,Intro to Web Design & Devel.,,,S R ,20726,1,40,L,Lec,1,3,B2,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Agricultural AGRICULTURAL COX INSTITUTE 180,15,6,9,0,  40.0%,,,Farion C. ,,,3,,[],7,109
25,202620,CSCI,1170,Intro to Web Design & Devel.,,,S ,20727,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Hettiarachchi R. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],7,109
26,202620,CSCI,1170,Intro to Web Design & Devel.,,,,20728,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1435-1625,Carleton COLLABORATIVE HEALTH EDUC BLDG C170,120,64,56,0,  53.3%,,,Staff,,,0,,[],7,109
27,202620,CSCI,1170,Intro to Web Design & Devel.,,,,20729,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1735-1925,Studley SIR JAMES DUNN BUILDING 221C,35,19,16,0,  54.3%,,,Staff,,,0,,[],7,109
28,202620,CSCI,1170,Intro to Web Design & Devel.,,,S ,20730,1,B40,B,Lab,2,0,L2,07-JAN-2026,09-APR-2026,,,T,,,,,1005-1125,Agricultural AGRICULTURAL COX INSTITUTE 157,15,6,9,0,  40.0%,,,Farion C. ,,,0,,[],7,109
29,202620,CSCI,1300,Calculus in Computer Science,,,,20731,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,M,T,,R,,,1035-1125,Studley SIR JAMES DUNN BUILDING 304,60,26,34,0,  43.3%,,,DeGagne C. ,,,3,,[],8,109
30,202620,CSCI,1300,Calculus in Computer Science,,,S ,20732,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],8,109
31,202620,CSCI,1300,Calculus in Computer Science,,,,20733,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,26,34,0,  43.3%,,,Staff,,,0,,[],8,109
32,202620,CSCI,1315,Discrete Math for CS,,,,20734,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,M,,W,,F,,1335-1425,Carleton DENTISTRY 3156,120,97,23,0,  80.8%,,,Kiefte K. ,,,3,"This course is primarily reserved for first year students. If you are not a first year student, please contact undergrad@cs.dal.ca for permission to register. ",[],9,109
33,202620,CSCI,1315,Discrete Math for CS,,,S ,20735,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],9,109
34,202620,CSCI,1315,Discrete Math for CS,,,,20736,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,37,23,0,  61.7%,,,Staff,,,0,,[],9,109
35,202620,CSCI,1315,Discrete Math for CS,,,,20737,1,T02,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,60,0,0,WLIST,,,Staff,,,0,,[],9,109
36,202620,CSCI,1503,Programming for Business,,,R ,20739,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Studley KENNETH C ROWE MANAGEMENT 1014,60,18,42,0,  30.0%,,,MacKay B. ,,,3,,[],10,109
37,202620,CSCI,1503,Programming for Business,,,,20740,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,18,42,,  30.0%,,,Staff,,,0,,[],10,109
38,202620,CSCI,1615,Concepts in Computing,,,S ,20741,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],11,109
39,202620,CSCI,1616,Applications in Computing,,,S ,20742,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],12,109
40,202620,CSCI,2100,Workplace Comm for CS,,,,20743,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,79,41,0,  65.8%,,,Goudreault M. ,,,3,,[],13,109
41,202620,CSCI,2100,Workplace Comm for CS,,,S ,20744,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Udawatte M. (P)<br>Hasara M. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],13,109
42,202620,CSCI,2100,Workplace Comm for CS,,,,20745,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,120,79,41,0,  65.8%,,,Goudreault M. ,,,0,,[],13,109
43,202620,CSCI,2110,Data Structures and Algorithms,,,,20748,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,F,,1635-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,109,11,0,  90.8%,,,Sampalli S. ,,,3,,[],14,109
44,202620,CSCI,2110,Data Structures and Algorithms,,,S ,20749,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],14,109
45,202620,CSCI,2110,Data Structures and Algorithms,,,,20750,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,59,1,0,  98.3%,,,Staff,,,0,,[],14,109
46,202620,CSCI,2110,Data Structures and Algorithms,,,,20751,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,50,10,0,  83.3%,,,Staff,,,0,,[],14,109
47,202620,CSCI,2113,Discrete Structures II,202620-MATH-2113,,,20752,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1435-1525,Studley SIR JAMES DUNN BUILDING 221C,5,5,0,,FULL,35,14,Brown J. ,,,3,,[],15,109
48,202620,CSCI,2115,Theory of Computer Science,,,,20753,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley LSC-COMMON AREA C240,120,73,47,0,  60.8%,,,DeGagne C. ,,,3,,[],16,109
49,202620,CSCI,2115,Theory of Computer Science,,,S ,20754,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Rathnayake P. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],16,109
50,202620,CSCI,2115,Theory of Computer Science,,,,20755,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Studley LSC-COMMON AREA C240,120,73,47,0,  60.8%,,,Staff,,,0,,[],16,109
51,202620,CSCI,2122,Systems Programming,,,,20756,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,102,18,0,  85.0%,,,Kalyaniwalla N. ,,,3,,[],17,109
52,202620,CSCI,2122,Systems Programming,,,S ,20758,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,1,14,,   6.7%,,,Wijenayake U. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],17,109
53,202620,CSCI,2122,Systems Programming,,,,20761,1,B03,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,52,8,0,  86.7%,,,Staff,,,0,,[],17,109
54,202620,CSCI,2122,Systems Programming,,,,20762,1,B04,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,50,10,0,  83.3%,,,Staff,,,0,,[],17,109
55,202620,CSCI,2134,Software Development,,,,20763,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,F,,1435-1555,Studley CHEMISTRY 125,100,51,49,0,  51.0%,,,Whidden C. ,,,3,,[],18,109
56,202620,CSCI,2134,Software Development,,,,20764,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,100,68,32,0,  68.0%,,,McAllister M. ,,,3,,[],18,109
57,202620,CSCI,2134,Software Development,,,S ,20765,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],18,109
